id,wikidata_id
10091,Q1189028
10102,Q1886983
10148,Q333953
10168,Q333158
10191,Q333903
10216,Q2216457
10237,Q334137
10284,Q1700483
10375,Q1379003
10395,Q333820
10441,Q662910
10525,Q10652
10581,Q333811
10618,Q333807
10628,Q334000
11668,Q263166
11970,Q333520
13182,Q333795
13337,Q333847
13943,Q570298
13944,Q809971
13945,Q861907
13946,Q511689
13947,Q559634
13948,Q503626
13949,Q544729
13950,Q1167157
13951,Q744632
13952,Q2149018
13953,Q1076969
13954,Q1499393
13955,Q912525
13956,Q544089
13957,Q544064
13958,Q2399744
13959,Q2156625
13960,Q1496418
13961,Q1738042
13962,Q1200005
13963,Q861989
13964,Q1439779
13965,Q1108388
13966,Q405017
13967,Q1231522
13968,Q524532
13969,Q524077
13970,Q544715
13971,Q559391
13972,Q540408
13973,Q291748
13974,Q1174169
13975,Q544755
13976,Q181224
13977,Q887886
13978,Q1396732
13979,Q1168523
13980,Q559022
13981,Q334015
13982,Q467097
13983,Q1225080
13984,Q2057182
13985,Q559046
13986,Q2167587
13987,Q1612012
13988,Q912167
10211,Q1507362
13990,Q1108455
13991,Q1953630
13992,Q333800
13993,Q563410
13994,Q944741
13995,Q1729243
13996,Q1285630
13997,Q2057190
13998,Q544742
13999,Q1064575
14000,Q467108
14001,Q769138
14002,Q1421398
14003,Q1265397
14004,Q1738052
14005,Q202002
14006,Q2057654
14007,Q1086721
14008,Q5931093
14009,Q1681399
14010,Q780646
14011,Q1689118
14012,Q1418512
14013,Q349826
14014,Q1439561
14015,Q2374216
14016,Q1894852
14017,Q727460
14018,Q765484
14019,Q1985419
14020,Q2641395
14021,Q540340
14022,Q1519985
14023,Q526409
14024,Q862234
14025,Q544698
14026,Q1700778
14027,Q540424
14028,Q1281543
14029,Q1490268
14030,Q956623
14031,Q983174
14032,Q334376
14033,Q544484
14034,Q1822125
14035,Q1738887
14037,Q1735695
14038,Q1300245
14039,Q2061163
14040,Q1030471
14041,Q540435
14042,Q1689144
14043,Q121780
14044,Q1710696
14045,Q1083700
14046,Q1691804
14047,Q1443752
14048,Q7816757
14049,Q132040
14050,Q991741
14051,Q1680794
14052,Q1672546
14053,Q2647236
14054,Q1404958
14055,Q252566
14056,Q1083222
14057,Q1418528
14058,Q1175613
14059,Q2439870
14060,Q2357916
14061,Q1265439
14062,Q2063795
14063,Q1200458
14064,Q6963426
14065,Q1894872
14066,Q912776
14067,Q1669774
14068,Q917995
14069,Q1267804
14070,Q1324826
14071,Q1515752
14072,Q1634500
14073,Q1672558
14074,Q1701321
14075,Q200615
14076,Q2077496
14077,Q1051152
14078,Q1176111
14079,Q1933434
14080,Q1687620
14081,Q1486950
14082,Q1996594
14083,Q1738083
14084,Q334480
14085,Q444675
14086,Q1372069
14087,Q1436381
14088,Q1900397
14089,Q1929110
14090,Q1906394
14091,Q1701702
14092,Q1339371
14093,Q544686
14094,Q542330
14095,Q2150619
14096,Q644208
14097,Q1894898
14098,Q1655380
14099,Q305347
14100,Q2279359
14101,Q333630
14102,Q559613
14103,Q1176741
14104,Q1681420
14105,Q467112
14106,Q588571
14107,Q1176844
14108,Q1324835
14109,Q1247554
14110,Q1953855
14111,Q1685867
14112,Q2337825
14113,Q1737405
14114,Q1929744
14115,Q540381
14116,Q1440785
14117,Q466861
14118,Q1344022
14119,Q1177153
14120,Q1702190
14121,Q2648077
14122,Q16213334
14123,Q862664
14124,Q937340
14146,Q373047
25072,Q1282862
25073,Q540328
25074,Q1108343
25075,Q1893669
25076,Q1557330
25077,Q1071778
25078,Q289184
25079,Q981061
25080,Q2177593
25081,Q1349075
25082,Q509808
25083,Q1740370
25084,Q1689091
25085,Q564093
25086,Q1906255
25087,Q979197
25088,Q1495635
25089,Q1900077
25090,Q1097337
25091,Q2647232
25092,Q5145257
25093,Q2150126
25094,Q544483
25095,Q1538053
25096,Q1200058
25097,Q1933290
25099,Q1584068
25100,Q1687049
25101,Q1700987
25102,Q512681
25103,Q1636293
25104,Q1900265
25105,Q1894865
25106,Q405025
25107,Q1726790
25108,Q565600
25109,Q1541328
25110,Q1701389
25111,Q2581473
25112,Q1189468
25113,Q1258767
25114,Q1740263
25115,Q1176878
25116,Q1685871
25117,Q862635
25118,Q2063093
25119,Q174924
25171,Q6167868
25182,Q13224746
25207,Q15101536
25218,Q16191157
25219,Q16107237
25484,Q22131946
25491,Q24039804
25492,Q24052677
25494,Q24052672
25495,Q24034422
25496,Q24052673
25497,Q24034357
25498,Q24052675
25500,Q24045406
25501,Q24039805
25502,Q24052667
25503,Q24014894
25504,Q24039479
25505,Q16250806
25506,Q24026044
25507,Q24039803
25508,Q24039791
25509,Q24034374
25510,Q24034267
25511,Q24034416
25512,Q24039903
25513,Q24025938
25514,Q24052669
25515,Q24052676
25516,Q24039899
25517,Q24039896
25518,Q24034371
25519,Q24052679
25521,Q24052668
25522,Q24039795
25523,Q24052665
25524,Q24034376
25525,Q24014282
25527,Q24052670
25529,Q24039768
25530,Q24034308
25531,Q24039769
25532,Q23982037
24738,Q478812
25535,Q24039900
25536,Q24036539
25538,Q24052680
25539,Q24034678
25540,Q24034387
25541,Q4679900
25542,Q24052671
25543,Q514743
25544,Q19667404
25599,Q28020296
